"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"64",64,1,0.939428571428572,1,0,108,5000,"3","0.01",4,4,"5000 3 0.01 4","7","virus isolation"
"65",65,0.998112189859763,0.911487758945386,0.994350282485876,0.333333333333333,142,5000,"3","0.01",4,5,"5000 3 0.01 4","7","virus isolation"
"66",66,0.997572815533981,0.926553672316384,1,0,108,5000,"3","0.01",4,6,"5000 3 0.01 4","7","virus isolation"
"67",67,0.999460625674218,0.905838041431262,1,0,187,5000,"3","0.01",4,7,"5000 3 0.01 4","7","virus isolation"
"68",68,0.999697336561743,0.896306818181818,0.994318181818182,0,152,5000,"3","0.01",4,8,"5000 3 0.01 4","7","virus isolation"
"69",69,1,0.877786952931462,0.994219653179191,0,141,5000,"3","0.01",4,9,"5000 3 0.01 4","7","virus isolation"
"70",70,0.999190938511327,0.84180790960452,0.994350282485876,0,159,5000,"3","0.01",4,10,"5000 3 0.01 4","7","virus isolation"
"71",71,1,0.918857142857143,1,0,742,5000,"4","0.001",4,1,"5000 4 0.001 4","8","virus isolation"
"72",72,0.999460625674218,0.924670433145009,1,0,1321,5000,"4","0.001",4,2,"5000 4 0.001 4","8","virus isolation"
"73",73,1,0.907721280602636,1,0,1675,5000,"4","0.001",4,3,"5000 4 0.001 4","8","virus isolation"
"74",74,1,0.941714285714286,1,0,653,5000,"4","0.001",4,4,"5000 4 0.001 4","8","virus isolation"
"75",75,0.997842502696872,0.913370998116761,1,0.333333333333333,1535,5000,"4","0.001",4,5,"5000 4 0.001 4","8","virus isolation"
"76",76,0.999460625674218,0.949152542372881,1,0,900,5000,"4","0.001",4,6,"5000 4 0.001 4","8","virus isolation"
"77",77,1,0.907721280602636,1,0,1855,5000,"4","0.001",4,7,"5000 4 0.001 4","8","virus isolation"
"78",78,1,0.882102272727273,0.994318181818182,0,1842,5000,"4","0.001",4,8,"5000 4 0.001 4","8","virus isolation"
"79",79,1,0.894302229562345,1,0,1177,5000,"4","0.001",4,9,"5000 4 0.001 4","8","virus isolation"
"80",80,0.999460625674218,0.856873822975518,0.994350282485876,0,1534,5000,"4","0.001",4,10,"5000 4 0.001 4","8","virus isolation"
"81",81,1,0.894285714285714,1,0,44,5000,"4","0.01",4,1,"5000 4 0.01 4","9","virus isolation"
"82",82,0.999730312837109,0.911487758945386,1,0,108,5000,"4","0.01",4,2,"5000 4 0.01 4","9","virus isolation"
"83",83,1,0.930320150659134,1,0,173,5000,"4","0.01",4,3,"5000 4 0.01 4","9","virus isolation"
"84",84,1,0.918857142857143,1,0,50,5000,"4","0.01",4,4,"5000 4 0.01 4","9","virus isolation"
"85",85,0.998381877022654,0.905838041431262,0.994350282485876,0.333333333333333,142,5000,"4","0.01",4,5,"5000 4 0.01 4","9","virus isolation"
"86",86,0.998651564185545,0.939736346516008,1,0,108,5000,"4","0.01",4,6,"5000 4 0.01 4","9","virus isolation"
"87",87,1,0.905838041431262,1,0,187,5000,"4","0.01",4,7,"5000 4 0.01 4","9","virus isolation"
"88",88,0.999697336561743,0.900568181818182,0.994318181818182,0,152,5000,"4","0.01",4,8,"5000 4 0.01 4","9","virus isolation"
"89",89,1,0.874483897605285,0.994219653179191,0,141,5000,"4","0.01",4,9,"5000 4 0.01 4","9","virus isolation"
"90",90,0.999190938511327,0.834274952919021,0.994350282485876,0,156,5000,"4","0.01",4,10,"5000 4 0.01 4","9","virus isolation"
"91",1,0.977535301668806,0.953446409238542,0.993865030674847,0.470588235294118,7671,15000,"2","5e-04",4,1,"15000 2 5e-04 4","1","RT-PCR"
"92",2,0.996464646464646,0.878596087456847,0.974683544303797,0.454545454545455,12669,15000,"2","5e-04",4,2,"15000 2 5e-04 4","1","RT-PCR"
"93",3,0.989666238767651,0.95164200649585,0.98159509202454,0.588235294117647,12638,15000,"2","5e-04",4,3,"15000 2 5e-04 4","1","RT-PCR"
"94",4,0.996865203761755,0.896299483648881,0.987951807228916,0.214285714285714,14999,15000,"2","5e-04",4,4,"15000 2 5e-04 4","1","RT-PCR"
"95",5,0.986970474967908,0.937928545651389,0.987730061349693,0.588235294117647,11359,15000,"2","5e-04",4,5,"15000 2 5e-04 4","1","RT-PCR"
"96",6,0.982926829268293,0.882352941176471,0.98159509202454,0.176470588235294,8440,15000,"2","5e-04",4,6,"15000 2 5e-04 4","1","RT-PCR"
"97",7,0.987073490813648,0.902949245541838,0.981481481481482,0.333333333333333,9014,15000,"2","5e-04",4,7,"15000 2 5e-04 4","1","RT-PCR"
"98",8,0.993963254593176,0.936213991769547,0.987654320987654,0.444444444444444,14812,15000,"2","5e-04",4,8,"15000 2 5e-04 4","1","RT-PCR"
"99",9,0.996106859981206,0.86106570774763,0.987577639751553,0.473684210526316,14994,15000,"2","5e-04",4,9,"15000 2 5e-04 4","1","RT-PCR"
"100",10,0.981418918918919,0.920934411500449,0.987421383647799,0.333333333333333,7087,15000,"2","5e-04",4,10,"15000 2 5e-04 4","1","RT-PCR"
"101",11,0.990885750962773,0.948754962107543,0.993865030674847,0.470588235294118,7390,15000,"3","5e-04",4,1,"15000 3 5e-04 4","2","RT-PCR"
"102",12,0.998196248196248,0.880034522439586,0.981012658227848,0.409090909090909,9405,15000,"3","5e-04",4,2,"15000 3 5e-04 4","2","RT-PCR"
"103",13,0.990115532734275,0.950198484301696,0.987730061349693,0.529411764705882,7614,15000,"3","5e-04",4,3,"15000 3 5e-04 4","2","RT-PCR"
"104",14,0.997950325536533,0.901462994836489,0.993975903614458,0.214285714285714,10316,15000,"3","5e-04",4,4,"15000 3 5e-04 4","2","RT-PCR"
"105",15,0.992811296534018,0.934680620714543,0.987730061349693,0.470588235294118,8278,15000,"3","5e-04",4,5,"15000 3 5e-04 4","2","RT-PCR"
"106",16,0.990115532734275,0.885961746661855,0.98159509202454,0.294117647058824,7498,15000,"3","5e-04",4,6,"15000 3 5e-04 4","2","RT-PCR"
"107",17,0.991601049868766,0.907407407407407,0.981481481481482,0.333333333333333,6535,15000,"3","5e-04",4,7,"15000 3 5e-04 4","2","RT-PCR"
"108",18,0.996194225721785,0.933813443072702,0.987654320987654,0.444444444444444,10594,15000,"3","5e-04",4,8,"15000 3 5e-04 4","2","RT-PCR"
"109",19,0.998187676198147,0.869892121608369,0.987577639751553,0.421052631578947,12057,15000,"3","5e-04",4,9,"15000 3 5e-04 4","2","RT-PCR"
"110",20,0.987471846846847,0.918238993710692,0.987421383647799,0.285714285714286,5367,15000,"3","5e-04",4,10,"15000 3 5e-04 4","2","RT-PCR"
"111",21,0.992233632862644,0.943702634428004,0.993865030674847,0.411764705882353,5501,15000,"4","5e-04",4,1,"15000 4 5e-04 4","3","RT-PCR"
"112",22,0.998196248196248,0.878308400460299,0.981012658227848,0.409090909090909,6926,15000,"4","5e-04",4,2,"15000 4 5e-04 4","3","RT-PCR"
"113",23,0.99415917843389,0.948754962107543,0.987730061349693,0.529411764705882,6823,15000,"4","5e-04",4,3,"15000 4 5e-04 4","3","RT-PCR"
"114",24,0.998191463708705,0.904044750430293,0.993975903614458,0.214285714285714,8012,15000,"4","5e-04",4,4,"15000 4 5e-04 4","3","RT-PCR"
"115",25,0.99403080872914,0.932515337423313,0.987730061349693,0.470588235294118,6451,15000,"4","5e-04",4,5,"15000 4 5e-04 4","3","RT-PCR"
"116",26,0.99191270860077,0.887405268856009,0.98159509202454,0.235294117647059,5942,15000,"4","5e-04",4,6,"15000 4 5e-04 4","3","RT-PCR"
"117",27,0.993700787401575,0.902949245541838,0.987654320987654,0.333333333333333,5505,15000,"4","5e-04",4,7,"15000 4 5e-04 4","3","RT-PCR"
"118",28,0.996916010498688,0.933813443072702,0.987654320987654,0.388888888888889,8392,15000,"4","5e-04",4,8,"15000 4 5e-04 4","3","RT-PCR"
"119",29,0.998120553094375,0.874795684864335,0.987577639751553,0.421052631578947,8544,15000,"4","5e-04",4,9,"15000 4 5e-04 4","3","RT-PCR"
"120",30,0.992257882882883,0.918238993710692,0.993710691823899,0.238095238095238,4797,15000,"4","5e-04",4,10,"15000 4 5e-04 4","3","RT-PCR"
"121",31,0.979460847240051,0.95633345362685,0.993865030674847,0.470588235294118,4208,5000,"2","0.001",4,1,"5000 2 0.001 4","4","RT-PCR"
"122",32,0.992857142857143,0.878308400460299,0.981012658227848,0.454545454545455,4951,5000,"2","0.001",4,2,"5000 2 0.001 4","4","RT-PCR"
"123",33,0.983697047496791,0.953446409238542,0.98159509202454,0.588235294117647,4999,5000,"2","0.001",4,3,"5000 2 0.001 4","4","RT-PCR"
"124",34,0.98951048951049,0.9092082616179,0.993975903614458,0.214285714285714,5000,5000,"2","0.001",4,4,"5000 2 0.001 4","4","RT-PCR"
"125",35,0.983697047496791,0.937206784554312,0.987730061349693,0.470588235294118,4934,5000,"2","0.001",4,5,"5000 2 0.001 4","4","RT-PCR"
"126",36,0.982413350449294,0.879465896788163,0.98159509202454,0.235294117647059,4148,5000,"2","0.001",4,6,"5000 2 0.001 4","4","RT-PCR"
